Frame,Progress,VisibleTiles,RenderableTiles,MissingCount
709,0.13012,28,28,0
710,0.13029,26,26,0
711,0.13046,26,26,0
712,0.13064,26,26,0
713,0.13081,26,26,0
714,0.13098,27,1,1
715,0.13115,26,1,0
716,0.13132,26,1,0
717,0.13149,25,1,0
718,0.13166,25,1,0
719,0.13183,23,1,0
720,0.13200,23,23,0
721,0.13217,24,1,1
722,0.13234,24,1,0
723,0.13251,23,1,0
724,0.13268,23,1,0
725,0.13285,23,23,0
726,0.13302,23,23,0
727,0.13318,23,23,0
728,0.13335,23,23,0
729,0.13352,23,23,0
730,0.13369,23,23,0
731,0.13386,23,23,0
732,0.13403,23,23,0
733,0.13421,23,23,0
734,0.13438,23,23,0
735,0.13454,23,23,0
736,0.13471,23,23,0
737,0.13488,22,22,0
738,0.13505,23,1,1
739,0.13522,23,1,0
740,0.13539,24,1,1
741,0.13556,23,1,0
742,0.13573,23,1,0
743,0.13590,23,1,0
744,0.13607,22,1,0
745,0.13623,22,1,0
746,0.13640,22,22,0
747,0.13657,22,22,0
748,0.13674,22,22,0
749,0.13691,23,1,1
750,0.13708,25,1,4
751,0.13725,25,1,0
752,0.13742,25,1,0
753,0.13759,25,1,0
754,0.13776,25,22,0
755,0.13793,24,24,0
756,0.13810,24,24,0
757,0.13827,24,24,0
758,0.13844,23,23,0
759,0.13861,23,23,0
760,0.13878,21,21,0
761,0.13895,21,21,0
762,0.13913,21,21,0
763,0.13929,21,21,0
764,0.13946,24,21,4
765,0.13963,24,21,0
766,0.13980,24,21,0
767,0.13997,25,1,1
768,0.14014,25,1,0
769,0.14032,25,1,0
770,0.14049,25,1,0
771,0.14065,26,1,1
772,0.14082,26,1,0
773,0.14099,26,1,0
774,0.14116,26,1,0
775,0.14134,26,1,0
776,0.14150,26,1,0
777,0.14167,29,1,4
778,0.14184,30,1,1
779,0.14201,30,1,0
780,0.14219,30,1,0
781,0.14236,30,1,0
782,0.14253,31,1,1
783,0.14269,30,1,0
784,0.14286,30,1,0
785,0.14303,30,1,0
786,0.14320,30,1,0
787,0.14337,30,1,0
788,0.14354,30,30,0
789,0.14371,30,30,0
790,0.14389,30,30,0
791,0.14406,30,30,0
792,0.14422,30,30,0
793,0.14439,30,1,1
794,0.14456,30,1,0
795,0.14473,29,1,1
796,0.14490,29,1,0
797,0.14507,29,1,0
798,0.14524,29,1,0
799,0.14540,29,1,0
800,0.14557,29,29,0
801,0.14574,30,1,1
802,0.14591,30,1,0
803,0.14609,30,1,0
804,0.14625,29,1,0
805,0.14642,28,1,0
806,0.14660,28,1,0
807,0.14677,28,28,0
808,0.14694,28,28,0
809,0.14711,28,28,0
810,0.14728,28,28,0
811,0.14744,28,28,0
812,0.14761,28,28,0
813,0.14778,28,28,0
814,0.14795,27,27,0
815,0.14812,27,27,0
816,0.14829,28,27,2
817,0.14846,28,1,1
818,0.14863,28,1,0
819,0.14880,28,1,1
820,0.14897,29,1,1
821,0.14914,29,1,0
822,0.14931,28,1,0
823,0.14948,28,1,0
824,0.14965,28,1,0
825,0.14982,28,1,0
826,0.14999,28,1,0
827,0.15016,27,27,0
828,0.15032,28,1,1
829,0.15049,27,1,0
830,0.15066,28,1,1
831,0.15083,28,1,0
832,0.15100,29,1,1
833,0.15117,29,1,0
834,0.15134,29,1,0
835,0.15151,29,1,0
836,0.15168,29,29,0
837,0.15184,29,29,0
838,0.15202,29,29,0
839,0.15219,29,29,0
840,0.15235,29,29,0
841,0.15252,29,29,0
842,0.15269,29,29,0
843,0.15286,30,1,1
844,0.15303,30,1,1
845,0.15320,29,1,0
846,0.15337,27,1,0
847,0.15354,27,1,0
848,0.15371,27,1,0
849,0.15388,27,27,0
850,0.15405,27,27,0
851,0.15422,27,27,0
852,0.15439,28,1,1
853,0.15456,28,1,0
854,0.15473,28,1,0
855,0.15489,28,1,0
856,0.15506,28,28,0
857,0.15523,28,28,0
858,0.15540,28,28,0
859,0.15557,28,28,0
860,0.15574,28,28,0
861,0.15591,28,28,0
862,0.15608,27,27,0
863,0.15625,27,27,0
864,0.15642,27,1,1
865,0.15659,27,1,0
866,0.15676,27,1,0
867,0.15693,27,1,0
868,0.15710,27,27,0
869,0.15727,28,27,2
870,0.15744,28,27,0
871,0.15761,28,27,0
872,0.15778,28,27,0
873,0.15795,28,27,0
874,0.15812,27,26,0
875,0.15829,26,26,0
876,0.15846,26,26,0
877,0.15863,26,26,0
878,0.15880,26,26,0
879,0.15897,26,26,0
880,0.15914,26,26,0
881,0.15931,26,1,1
882,0.15948,25,1,0
883,0.15965,25,1,0
884,0.15982,25,1,0
885,0.15999,25,25,0
886,0.16016,25,25,0
887,0.16033,25,25,0
888,0.16050,25,25,0
889,0.16067,25,25,0
890,0.16084,25,25,0
891,0.16101,25,25,0
892,0.16118,25,25,0
893,0.16135,24,24,0
894,0.16152,24,24,0
895,0.16169,24,24,0
896,0.16186,24,24,0
897,0.16203,23,23,0
898,0.16220,23,23,0
899,0.16237,23,23,0
900,0.16254,22,22,0
901,0.16271,22,22,0
902,0.16288,22,22,0
903,0.16305,22,22,0
904,0.16322,22,22,0
905,0.16339,22,22,0
906,0.16356,22,22,0
907,0.16373,22,22,0
908,0.16389,21,21,0
909,0.16407,21,21,0
910,0.16423,21,21,0
911,0.16440,21,21,0
912,0.16457,21,21,0
913,0.16474,21,1,1
914,0.16491,22,1,1
915,0.16508,23,1,1
916,0.16525,23,1,0
917,0.16542,24,1,1
918,0.16559,24,1,0
919,0.16576,25,1,1
920,0.16593,25,1,0
921,0.16610,25,1,0
922,0.16627,25,1,0
923,0.16644,25,25,0
924,0.16661,25,25,0
925,0.16678,27,1,2
926,0.16695,27,1,0
927,0.16712,27,1,0
928,0.16729,28,1,1
929,0.16746,28,1,0
930,0.16763,28,1,0
931,0.16780,28,1,0
932,0.16797,28,1,0
933,0.16814,28,28,0
934,0.16831,28,28,0
935,0.16848,29,1,1
936,0.16865,29,1,0
937,0.16882,29,1,0
938,0.16899,29,1,0
939,0.16916,29,1,0
940,0.16933,29,1,0
941,0.16950,29,29,0
942,0.16967,29,29,0
943,0.16984,29,29,0
944,0.17001,29,29,0
945,0.17018,29,29,0
946,0.17035,29,29,0
947,0.17051,29,29,0
948,0.17068,29,29,0
949,0.17085,28,28,0
950,0.17102,28,28,0
951,0.17119,28,28,0
952,0.17136,28,28,0
953,0.17153,28,28,0
954,0.17170,28,28,0
955,0.17187,28,28,0
956,0.17204,28,28,0
957,0.17221,28,28,0
958,0.17238,28,28,0
959,0.17255,27,27,0
960,0.17272,27,27,0
961,0.17289,27,27,0
962,0.17306,27,27,0
963,0.17323,27,27,0
964,0.17340,27,27,0
965,0.17356,27,27,0
966,0.17373,27,27,0
967,0.17390,27,27,0
968,0.17407,27,27,0
969,0.17425,27,27,0
970,0.17442,27,27,0
971,0.17459,27,27,0
972,0.17476,27,27,0
973,0.17493,27,27,0
974,0.17510,27,27,0
975,0.17527,27,27,0
976,0.17544,27,27,0
977,0.17561,26,26,0
978,0.17578,26,26,0
979,0.17595,26,26,0
980,0.17612,26,26,0
981,0.17629,26,26,0
982,0.17646,26,26,0
983,0.17663,26,26,0
984,0.17680,26,26,0
985,0.17697,25,25,0
986,0.17714,25,25,0
987,0.17731,25,25,0
988,0.17748,25,25,0
989,0.17765,25,25,0
990,0.17782,25,25,0
991,0.17799,25,25,0
992,0.17816,25,25,0
993,0.17833,25,25,0
994,0.17850,25,25,0
995,0.17867,25,25,0
996,0.17884,25,25,0
997,0.17901,25,25,0
998,0.17918,25,25,0
999,0.17935,25,25,0
1000,0.17952,25,25,0
1001,0.17969,25,25,0
1002,0.17986,25,25,0
1003,0.18003,25,25,0
1004,0.18020,25,25,0
1005,0.18037,25,25,0
1006,0.18054,25,25,0
1007,0.18071,25,25,0
1008,0.18088,24,24,0
1009,0.18105,24,24,0
1010,0.18122,24,24,0
1011,0.18139,24,24,0
1012,0.18156,24,24,0
1013,0.18173,24,24,0
1014,0.18190,24,24,0
1015,0.18207,24,24,0
1016,0.18224,24,24,0
1017,0.18241,24,24,0
1018,0.18258,24,24,0
1019,0.18274,24,24,0
1020,0.18291,24,24,0
1021,0.18308,24,24,0
