case_id,lat,lon,alt,pitch,yaw,roll,rendered,hit,false_positives,false_negatives
6306,-51.19026,-66.36447,6.0151687,-4.6443863,147.38408,-134.33475,0,0,0,0
6307,46.447357,101.36832,4.1094327,81.581726,147.93954,-21.921188,0,0,0,0
6308,-56.2396,39.82463,0.8992672,61.606125,292.82043,-22.23433,11,11,0,0
6309,-26.546246,126.741425,6.0137086,-11.484848,61.64234,79.98514,0,0,0,0
6310,-10.201035,-134.39883,4.490847,-32.414436,261.74814,-146.95502,0,0,0,0
6311,24.546112,78.94443,5.301517,-19.542358,167.06004,-2.054062,13,13,0,0
6312,-22.480354,-66.9619,3.3399422,-37.706825,39.22674,-121.19455,7,6,1,0
6313,59.14305,1.1404266,7.565651,-83.69925,207.50696,-129.71347,6,5,1,1
6314,-62.931015,102.486786,8.772013,-54.89177,256.36816,51.26497,0,0,0,0
6315,16.444695,-137.55936,1.7946297,-58.47116,289.5068,-109.58637,12,10,2,0
6316,-21.256592,18.511917,9.482556,78.55246,268.41043,-68.23453,0,0,0,0
6317,-71.835945,99.640045,5.062036,-73.8525,5.1827664,69.13698,0,0,0,0
6318,-77.02847,-175.22797,6.2508464,6.93145,125.64308,70.05173,0,0,0,0
6319,12.439934,-106.16376,4.256857,-79.79028,72.18679,144.99905,1,0,1,0
6320,-76.10006,-27.779892,4.241568,-59.457657,109.05887,28.995544,0,0,0,0
6321,49.400345,-28.69426,6.5736003,49.127136,28.042786,-138.01257,0,0,0,0
6322,33.30133,114.99957,0.863101,70.135574,232.60724,115.140045,0,0,0,0
6323,1.3449173,-111.98663,2.9809198,-64.04603,5.7789574,-75.99502,5,4,1,0
6324,-75.976456,58.41066,9.65118,41.317886,43.924355,-30.560364,1,1,0,0
6325,-26.984627,7.129242,1.3875107,-57.168835,307.7242,65.47293,0,0,0,0
6326,34.69847,53.32193,3.146708,83.584366,225.41457,-137.43015,0,0,0,0
6327,29.922523,108.92883,8.724016,88.778046,144.34358,127.44171,0,0,0,0
6328,-0.07060242,-18.597672,0.23644651,33.666832,27.55852,-170.8171,16,15,1,0
6329,-74.80135,-17.549515,3.6597078,-73.98068,234.98778,38.58452,0,0,0,0
6330,-37.324306,-54.451675,5.925363,-82.11395,136.32294,145.48322,0,0,0,0
6331,17.9441,-121.71393,4.1726675,2.0345612,17.431679,90.448944,6,6,0,0
6332,38.05342,-170.11844,4.009355,43.195526,146.54668,-95.50152,0,0,0,0
6333,-51.463276,-128.12067,6.6922507,-0.48202515,103.0771,106.341034,0,0,0,0
6334,40.270775,163.69162,5.6171227,31.604095,63.178665,-106.57899,0,0,0,0
6335,8.872978,156.70694,6.032556,31.43576,184.69437,153.21762,0,0,0,0
6336,-73.08293,-126.300644,9.089928,57.66487,222.2422,-132.60568,4,4,0,0
6337,-11.990623,56.717606,7.8356614,-86.63139,333.57813,135.96103,0,0,0,0
6338,-72.676125,-80.984795,9.167997,33.718254,233.40083,-155.87997,0,0,0,0
6339,6.173126,117.403656,7.743377,-79.67307,32.992184,23.411865,0,0,0,0
6340,44.21727,-66.83185,5.9523134,-87.42378,156.00089,13.660141,4,4,0,0
6341,72.61064,-155.11914,4.016266,-79.77381,184.77841,25.534607,9,7,2,0
6342,20.379837,-72.42024,6.610546,2.3355103,10.4655695,67.80966,10,9,1,0
6343,75.24271,-47.64937,2.8186755,-58.79012,96.00461,131.09082,12,12,0,0
6344,54.541153,120.85864,5.2958784,53.007355,296.9154,-76.585686,0,0,0,0
6345,82.594955,63.320343,7.88854,55.00769,262.52658,-54.804604,0,0,0,0
6346,43.215576,-31.709763,9.247468,59.65094,162.89061,-55.991127,0,0,0,0
6347,30.972656,-169.04366,8.810694,23.516335,256.33926,-143.8695,6,5,1,0
6348,-72.29401,75.896774,1.5413046,11.698402,32.04959,-65.84938,3,2,1,0
6349,-47.651806,2.9447937,4.612454,-79.20953,193.59169,-29.207703,0,0,0,0
6350,27.992409,-26.557281,3.4602,3.158699,115.719475,-129.17691,5,4,1,0
6351,70.93034,51.23526,1.9002149,-72.36863,310.14142,-171.85434,13,13,0,0
