Frame,Progress,VisibleTiles,DisplayedTiles,TextureChanges,FastFlickers
670,0.12347,30,30,0,0
671,0.12364,30,30,0,0
672,0.12381,30,30,0,0
673,0.12398,30,30,0,0
674,0.12415,30,30,0,0
675,0.12432,30,30,0,0
676,0.12449,30,30,0,0
677,0.12466,30,30,0,0
678,0.12483,29,29,0,0
679,0.12500,29,29,0,0
680,0.12517,29,29,0,0
681,0.12534,29,29,0,0
682,0.12551,29,29,0,0
683,0.12568,29,29,0,0
684,0.12585,29,29,0,0
685,0.12602,29,29,0,0
686,0.12619,28,28,0,0
687,0.12635,28,28,0,0
688,0.12652,28,28,0,0
689,0.12669,28,28,0,0
690,0.12686,28,28,0,0
691,0.12704,28,28,0,0
692,0.12720,28,28,0,0
693,0.12738,28,28,0,0
694,0.12754,28,28,0,0
695,0.12772,28,28,0,0
696,0.12788,28,28,0,0
697,0.12805,28,28,0,0
698,0.12822,28,28,0,0
699,0.12839,29,29,0,0
700,0.12856,29,29,0,0
701,0.12873,29,29,0,0
702,0.12890,29,29,0,0
703,0.12907,29,29,0,0
704,0.12924,29,29,0,0
705,0.12941,29,29,0,0
706,0.12958,29,29,0,0
707,0.12975,29,29,0,0
708,0.12992,29,29,0,0
709,0.13009,28,28,0,0
710,0.13026,28,28,0,0
711,0.13043,26,26,0,0
712,0.13060,26,26,0,0
713,0.13077,26,26,0,0
714,0.13094,27,27,0,0
715,0.13110,26,26,0,0
716,0.13127,26,26,0,0
717,0.13144,25,25,0,0
718,0.13161,25,25,0,0
719,0.13178,23,23,0,0
720,0.13195,23,23,0,0
721,0.13212,24,24,0,0
722,0.13229,24,24,0,0
723,0.13246,23,23,0,0
724,0.13263,23,23,0,0
725,0.13280,23,23,0,0
726,0.13297,23,23,0,0
727,0.13314,23,23,0,0
728,0.13330,23,23,0,0
729,0.13347,23,23,1,0
730,0.13365,23,23,0,0
731,0.13382,23,23,0,0
732,0.13398,23,23,0,0
733,0.13415,23,23,0,0
734,0.13432,23,23,0,0
735,0.13449,23,23,0,0
736,0.13466,23,23,0,0
737,0.13483,22,22,0,0
738,0.13500,22,22,0,0
739,0.13517,23,23,0,0
740,0.13534,23,23,0,0
741,0.13551,23,23,0,0
742,0.13568,23,23,0,0
743,0.13585,23,23,0,0
744,0.13602,22,22,0,0
745,0.13619,22,22,0,0
746,0.13636,22,22,0,0
747,0.13653,22,22,0,0
748,0.13670,22,22,0,0
749,0.13687,23,23,0,0
750,0.13704,25,25,0,0
751,0.13721,25,25,0,0
752,0.13738,25,25,0,0
753,0.13755,25,25,0,0
754,0.13771,25,25,1,0
755,0.13789,24,24,0,0
756,0.13805,24,24,0,0
757,0.13822,24,24,0,0
758,0.13839,23,23,0,0
759,0.13856,23,23,0,0
760,0.13873,22,22,0,0
761,0.13890,21,21,4,0
762,0.13907,21,21,0,0
763,0.13924,21,21,0,0
764,0.13941,24,24,0,0
765,0.13958,24,24,0,0
766,0.13975,24,24,0,0
767,0.13992,25,25,0,0
768,0.14009,25,25,0,0
769,0.14026,25,25,0,0
770,0.14043,25,25,0,0
771,0.14060,26,26,4,0
772,0.14077,26,26,0,0
773,0.14094,26,26,0,0
774,0.14111,26,26,0,0
775,0.14127,26,26,0,0
776,0.14144,26,26,0,0
777,0.14161,29,29,0,0
778,0.14178,30,30,0,0
779,0.14195,30,30,0,0
780,0.14212,30,30,0,0
781,0.14229,30,30,0,0
782,0.14246,31,31,0,0
783,0.14263,31,31,0,0
784,0.14280,30,30,0,0
785,0.14297,30,30,4,0
786,0.14314,30,30,0,0
787,0.14331,30,30,0,0
788,0.14348,30,30,0,0
789,0.14365,30,30,0,0
790,0.14382,30,30,0,0
791,0.14399,30,30,0,0
792,0.14416,30,30,0,0
793,0.14433,29,29,0,0
794,0.14450,30,30,0,0
795,0.14467,31,31,0,0
796,0.14484,29,29,0,0
797,0.14501,29,29,0,0
798,0.14518,29,29,0,0
799,0.14535,29,29,0,0
800,0.14551,29,29,0,0
801,0.14569,30,30,0,0
802,0.14585,30,30,0,0
803,0.14603,30,30,0,0
804,0.14619,30,30,0,0
805,0.14636,28,28,0,0
806,0.14653,28,28,0,0
807,0.14670,28,28,0,0
808,0.14687,28,28,0,0
809,0.14704,28,28,0,0
810,0.14721,28,28,0,0
811,0.14738,28,28,0,0
812,0.14755,28,28,0,0
813,0.14772,28,28,0,0
814,0.14789,27,27,0,0
815,0.14806,27,27,0,0
816,0.14823,27,27,0,0
817,0.14840,28,28,0,0
818,0.14857,28,28,0,0
819,0.14874,28,28,0,0
820,0.14891,28,28,0,0
821,0.14908,29,29,0,0
822,0.14925,29,29,0,0
823,0.14942,28,28,0,0
824,0.14959,28,28,0,0
825,0.14976,28,28,0,0
826,0.14993,28,28,0,0
827,0.15010,27,27,0,0
828,0.15027,28,28,0,0
829,0.15043,27,27,0,0
830,0.15060,28,28,0,0
831,0.15077,28,28,0,0
832,0.15094,28,28,3,1
833,0.15111,29,29,0,0
834,0.15128,29,29,0,0
835,0.15145,29,29,0,0
836,0.15162,29,29,0,0
837,0.15179,29,29,0,0
838,0.15196,29,29,0,0
839,0.15213,29,29,0,0
840,0.15230,29,29,0,0
841,0.15247,29,29,0,0
842,0.15264,29,29,0,0
843,0.15281,29,29,0,0
844,0.15298,30,30,0,0
845,0.15315,29,29,0,0
846,0.15332,28,28,0,0
847,0.15349,27,27,0,0
848,0.15366,27,27,3,1
849,0.15383,27,27,0,0
850,0.15400,27,27,0,0
851,0.15417,27,27,0,0
852,0.15434,28,28,0,0
853,0.15451,28,28,0,0
854,0.15468,28,28,0,0
855,0.15485,28,28,0,0
856,0.15502,28,28,3,1
857,0.15519,28,28,0,0
858,0.15536,28,28,0,0
859,0.15553,28,28,0,0
860,0.15570,28,28,0,0
861,0.15587,28,28,0,0
862,0.15604,27,27,0,0
863,0.15621,27,27,0,0
864,0.15638,27,27,0,0
865,0.15655,27,27,0,0
866,0.15672,27,27,0,0
867,0.15689,27,27,0,0
868,0.15706,27,27,4,1
869,0.15723,28,28,0,0
870,0.15740,28,28,0,0
871,0.15757,28,28,0,0
872,0.15774,28,28,0,0
873,0.15791,28,28,0,0
874,0.15807,27,27,0,0
875,0.15824,26,26,0,0
876,0.15841,26,26,0,0
877,0.15858,26,26,0,0
878,0.15875,26,26,0,0
879,0.15893,26,26,0,0
880,0.15909,26,26,0,0
881,0.15926,27,27,0,0
882,0.15943,26,26,0,0
883,0.15960,25,25,0,0
884,0.15977,25,25,0,0
885,0.15994,25,25,0,0
886,0.16011,25,25,1,0
887,0.16028,25,25,0,0
888,0.16045,25,25,0,0
889,0.16062,25,25,1,0
890,0.16079,25,25,0,0
891,0.16096,25,25,0,0
892,0.16113,25,25,0,0
893,0.16130,24,24,0,0
894,0.16147,24,24,0,0
895,0.16164,24,24,0,0
896,0.16181,24,24,0,0
897,0.16198,24,24,0,0
898,0.16215,23,23,0,0
899,0.16232,23,23,0,0
900,0.16249,22,22,0,0
901,0.16266,22,22,0,0
902,0.16283,22,22,0,0
903,0.16300,22,22,0,0
904,0.16317,22,22,0,0
905,0.16334,22,22,0,0
906,0.16351,22,22,0,0
907,0.16368,22,22,0,0
908,0.16385,21,21,0,0
909,0.16402,21,21,0,0
910,0.16419,21,21,0,0
911,0.16436,21,21,0,0
912,0.16453,21,21,1,0
913,0.16470,21,21,0,0
914,0.16486,22,22,0,0
915,0.16504,23,23,0,0
916,0.16521,23,23,0,0
917,0.16537,24,24,0,0
918,0.16554,24,24,0,0
919,0.16572,24,24,0,0
920,0.16588,25,25,0,0
